cshom,prccm,tic
2578000.0,9.3,MPAD
2579000.0,0.48,MFCO
189926000.0,102.93,ETR
16468000.0,59.25,MSEX
35569000.0,0.25,MKRS
58813000.0,44.7,MLKN
5000000.0,0.8,MLLS
38689000.0,105.39,MSA
21585000.0,0.11,XCOOQ
576427000.0,173.34,MMM
51624000.0,83.21,ALE
1742346000.0,325.599,MITSY
50727000.0,14.31,MOD
1620000.0,0.0056,MAHI
2600000.0,61.12,MCEM
,,MCEMB
94189000.0,13.55,MNR.2
39818000.0,59.32,QDEL
32478000.0,93.61,MOG.A
2424000.0,92.9,MOG.B
164786000.0,166.73,MSI
1292000.0,28.75,MUEL
173627000.0,24.65,MUR
2327000.0,30.665,INTG
35462000.0,19.27,MYE
515468000.0,19.04,VTRS
9508203000.0,29.0,BAC
120100000.0,31.1,VYX
48727000.0,3.65,NL
9667000.0,2.6,BMRA
24688000.0,34.71,NANO
40077000.0,0.0001,HYBE
18475000.0,29.68,NSSC
4211000.0,78.12,NATH
86306000.0,52.75,NFG
15306000.0,81.15,NHC
103132000.0,20.66,THC
46000.0,0.51,HSTG
16765000.0,15.08,GPX
6995000.0,93.29,NPK
,0.1012,SMAGF
191943000.0,0.19,SOMA.
,6.47,HLNFF
33383000.0,8.89,HLF.
19273000.0,9.29,NATR
10722000.0,1.6,CRMZ
89223000.0,49.77,NJR
5181000.0,18.6,NUVR
165198000.0,32.62,NYT
,,NYTAB
423100000.0,15.42,NWL
819633000.0,38.47,NEM
819633000.0,50.22,NGT.
90506000.0,7.42,NR
1256725000.0,83.95,NKE
1950394000.0,46.566,NTTYY
3844000.0,22.5,NOBH
478231000.0,22.4,NBL
21683000.0,0.62,NROM
57450000.0,141.31,NDSN
154652000.0,31.86,JWN
265967000.0,199.33,NSC
5418000.0,51.94,NC
16463000.0,27.0,MOV
,,MOVAA
9191000.0,7.0822,NRT
321101000.0,75.76,ES
373103000.0,28.8,NI
514673000.0,59.49,XEL
217677000.0,90.0,NTRS
169800000.0,323.11,NOC
71200000.0,31.4,TEX
30421000.0,69.5,NWN
